Rules,Campaign Type,Disable/ Enable Task,Filter ID,Filter:,Parent Task:,Task ID,Child Tasks,TAG TASKS,Schedule:,Notes:
Pausing,Big DR,Disable,464,Pro PPC Pause Targets with more than 30 clicks and no sales,Pro PPC Pause Targets with more than 30 clicks and no sales - 3 Month DR,487,Put to .02 bid Target,Add Tag Paused 0.02,,Reusable Task
Pausing,Big DR,Enable,422,Pro PPC Pause Kws with more than 30 clicks and no sales,Pro PPC Pause Kws with more than 30 clicks and no sales - Lifetime Archive,488,,Add Tag Archived,,monday 9am
Pausing,Big DR,Enable,464,Pro PPC Pause Targets with more than 30 clicks and no sales,Pro PPC Pause Targets with more than 30 clicks and no sales - Lifetime Archive,489,,Add Tag Archived (Targets),,
,,,,,,,,,,
Resuming,Reg,Disable,519,Pro PPC Resume Dropped Organic Position,Pro PPC Resume Dropped Organic Position,62,,Remove Tag High Organic Position," Every hour, only on Sunday, Tuesday, Monday, Wednesday, Thursday, and Frida",This needs the crawlers to work
Resuming,Reg,Disable,461,Pro PPC Resume Dropped Organic Position 1	,Need to add task,,,,,This needs the crawlers to work
,,,,,,,,,,
TAG,Reg,Enable,425,Pro PPC Tag Kws Low or Good Acos,Pro PPC Tag Kws Low or Good Acos,6,,,,
TAG,Reg,Enable,459,Pro PPC Tag Targets Low or Good Acos,Pro PPC Tag Targets Low or Good Acos,25,,,,
TAG,Reg,Enable,482,Pro PPC Add Product PA Tag,Pro PPC Add Product PA Tag,40,,,,
TAG,Reg,Enable,574,"Pro PPC Bid ending 1 & 6
Pro PPC Bid ending 1 & 6 PA Portfolios",Add Tag Raised to Bid Ending 6/1,368,,,,Onboarding Task
TAG,Reg,Enable,575,"Pro PPC Bid ending  4 & 9
Pro PPC Bid ending 4 & 9 PA Portfolios",Add Tag Lowered to Bid Ending 4/9,369,,,,Onboarding Task
TAG,Reg,Enable,576,"Pro PPC Bid ending  0 & 5
Pro PPC Bid ending 0 & 5 PA Portfolios",Add Tag New to Bid Ending 0/5,370,,,,Onboarding Task
TAG,Reg,Enable,582,Pro PPC Bid ending 1 & 6 Targets,Add Tag Raised to Bid Ending 6/1 Targets,428,,,,Onboarding Task
TAG,Reg,Enable,583,Pro PPC Bid ending 4 & 9 Targets,Add Tag Lowered to Bid Ending 4/9 Targets,426,,,,Onboarding Task
TAG,Reg,Enable,581,Pro PPC Bid ending 0 & 5 Targets,Add Tag New to Bid Ending 0/5 Targets,427,,,,Onboarding Task
TAG,Reg,Disable,520,Pro PPC OOS Products (2),Add tag Notified OOS 2,64,,Remove tag Notified OOS 2,,
TAG,Reg,Disable,486,"Pro PPC Campaign KW Count 50-150 (2)
       
",Pro PPC Campaign KW Count 50-150 (2),42,,"Notify Add Tag To Auto Campaign (2)
Remove Tags (3) and (4)",,Run before ST report. Did each number x3 since it add all ad groups together.
TAG,Reg,Disable,487,Pro PPC Campaign KW Count 151-399 (3),Pro PPC Campaign KW Count 151-399 (3),569,,"Notify Add Tag To Auto Campaign (3)
Remove Tags (2) and (4)",,Run before ST report. Did each number x3 since it add all ad groups together.
TAG,Reg,Disable,488,Pro PPC Campaign KW Count 400-1000 (4),Pro PPC Campaign KW Count 400-1000 (4),571,,"Notify Add Tag To Auto Campaign (4)
Remove Tags (2) and (3)",,Run before ST report. Did each number x3 since it add all ad groups together.
TAG,Reg,Disable,472,Pro PPC Campaign With PL,Pro PPC Add Tag PL,36,,,,
TAG,Reg,Disable,597,Pro PPC Add Tag Dynamic Bids Up and Down,Pro PPC Add Tag Dynamic Bids Up and Down,494,,,,Onboarding Task
TAG,Reg,Disable,598,Pro PPC Add Tag Fixed Bids,Pro PPC Add Tag Fixed Bids,495,,,,Onboarding Task
TAG,Reg,Disable,629,Pro PPC Keyword Tags,Pro PPC Remove Keyword Tags,626,,,,Reusable Task
TAG,Reg,Disable,632,Pro PPC Targets Tags,Pro PPC Remove Target Tags,627,,,,Reusable Task
TAG,New ,Disable,,Account Initial Setup,Pro PPC Campaign KW Count 50-150 Tag 2,605,,,,Onboarding
,,,,,Notify Add Tag To Auto Campaign Tag 2,606,,,,
,,,,,Pro PPC Campaign KW Count 151-399 Tag 3,607,,,,
,,,,,Notify Add Tag To Auto Campaign Tag 3,608,,,,
,,,,,Pro PPC Campaign KW Count 400-1000 Tag 4,609,,,,
,,,,,Notify Add Tag To Auto Campaign Tag 4,610,,,,
,,,,,Add Tag 600 plus Kws,611,,,,
,,,,,Pro PPC Notify Campaign Kw Count 600 Plus,612,,,,
,,,,,Pro PPC Add Tag Dynamic Bids Up and Down,613,,,,
,,,,,Pro PPC Add Tag Fixed Bids,614,,,,
,,,,,Pro PPC Add Tag PL,615,,,,
,,,,,Add Tag New to Bid Ending 0/5 kw,616,,,,
,,,,,Add Tag New to Bid Ending 0/5 Target,617,,,,
,,,,,Add Tag Raised to Bid Ending 6/1 kw,618,,,,
,,,,,Add Tag Raised to Bid Ending 6/1 Target,619,,,,
,,,,,Add Tag Lowered to Bid Ending 4/9 kw,620,,,,
,,,,,Add Tag Lowered to Bid Ending 4/9 Target,621,,,,
,,,,,,,,,,
Notify,Reg,Enable,578,Pro PPC Notify for Add PL when Tag Removed,Pro PPC Notify for Add PL when Tag Removed,39,,,,
Notify,Reg,Enable,524,Pro PPC Notify High Acos OOB Campaigns Child Task,Pro PPC Notify High Acos OOB Campaigns - Child,206,,,Mon-Thur at 09:00 AM,
Notify,Reg,Enable,525,Pro PPC Notify High Acos OOB Campaigns Parent task,Pro PPC Notify High Acos OOB Campaigns,67,,,Mon-Thur at 09:00 AM,
Notify,Reg,Enable,587,Pro PPC Notify Good Acos OOB Campaigns,Pro PPC Notify Good Acos OOB Campaigns,448,,,Mon-Thur at 09:00 AM,
Notify,Reg,Enable,526,Pro PPC Notify Campaigns in Advertiser Pro Portfolio,Pro PPC Notify Campaigns in Advertiser Pro Portfolio,69,,,Mon-Thur at 09:00 AM,
Notify,Reg,Enable,538,Pro PPC Notify High Acos Campaign,Pro PPC Notify High Acos Campaign,77,,,Mon 09:00 AM,
Notify,Reg,Enable,506,Pro PPC Notify OOS Products,Pro PPC Notify OOS Products,478,,Add Tag Notified OOS,Mon-Thur at 09:00 AM,
Notify,Reg,Enable,623,Pro PPC Notify Back in Stock Products,Pro PPC Notify Back in Stock Products,565,,Remove Tag Notified OOS,Mon-Thur at 09:00 AM,
Notify,Reg,Enable,504,Pro PPC Raise Campaign Budgets - Notify,Pro PPC Raise Campaign Budgets - Notify,58,,,Mon-Thur at 09:00 AM,
Notify,Reg,Enable,564,Pro PPC Low Inventory High Acos,Pro PPC Notify Campaign Low Inventory High Acos,406,,,Mon-Thur at 09:00 AM,
Notify,Reg,Enable,586,Pro PPC Notify No Target BE Acos,Pro PPC Notify No Target BE Acos,445,,,Mon-Thur at 09:00 AM,
Notify,Reg,Enable,588,Pro PPC Notify No Unique ID FBA Skus,Pro PPC Notify No Unique ID FBA Skus,458,,"Add Tag Notified No UID
Remove Tag Notified No UID",,
Notify,New ,Disable,531,Pro PPC New Campaign Tag,Pro PPC Notify New Campaign 2 Weeks,41,,,,
Notify,Reg,Enable,488,Pro PPC Notify Campaign Kw Count 600+,Pro PPC Notify Campaign Kw Count 600+,543,,Add Tag 600+ Kws,Mon 09:00 AM,
Notify,Reg,Enable,472,Pro PPC Notify Ad Group Negative Keywords,Pro PPC Notify Ad Group Negative Keywords,416,,,,Reusable Task
Notify,Reg,Disable,422,Pro PPC Pause Kws with more than 30 clicks and no sales,Pro PPC Pause Kws with more than 30 clicks and no sales - Notify,559,,,,
Notify,Reg,Disable,464,Pro PPC Pause Targets with more than 30 clicks and no sales,Pro PPC Pause Targets with more than 30 clicks and no sales - Notify,75,,,,
Notify,Reg,Disable,626,Pro PPC Notify Campaign Low Kw Count,Pro PPC Notify Campaign Low Kw Count,593,,,,Reusable. Run this task right after Old campaign ST report. Then add list of campaigns to the Old campaign ST report and change number of orders to 1
,,,643,Pro PPC Notify Payment Failure,,,,,,
,,,,,,,,,,
Refresh,Reg,Disable,"522
523","Pro PPC Refresh Product Ads
Pro PPC Refresh Product Ads (2)",Pro PPC Refresh Product Ads,66,,,,
,,,,,,,,,,
Day Parting,Reg,Enable,566,Pro PPC Day Parting Pause Campaigns,Pro PPC Day Parting Pause Campaigns,409,,Add Tag Day Parting Paused ,,
Day Parting,Reg,Enable,568,Pro PPC Day Parting Resume Campaigns,Pro PPC Day Parting Resume Campaigns,411,,Remove Tag Day Parting Paused,,
,,,,,,,,,,
,,Enable,573,Pro PPC Rename Old Campaigns To TKW,,,,,,
,,Enable,,,,,,,,
,,Enable,,,,,,,,
,,Enable,,,,,,,,
,,,,,,,,,,
,,,,BIG DR,Type,,,,,
,,,,Pro PPC Old Campaign Search Term Report,Search Term Report,,,,,
,,,,Pro PPC Old Campaign Asin Search Term Report,Search Term Report,,,,,
,,,,Pro PPC Boosting Kws Low Acos not OOB - Lowered Keywords,Boosting,,,,,
,,,,Pro PPC Boosting Targets Low Acos not OOB - Lowered Keywords,Boosting,,,,,
,,,,Pro PPC Kws with high clicks and no sales - Big DR,Cleaning,,,,,
,,,,Pro PPC Targets with high clicks and no sales - Big DR,Cleaning,,,,,
,,,,Pro PPC Pause Kws Old Campaigns 65 day DR,Pausing,,,,,
,,,,Pro PPC Pause Targets Old Campaigns 65 day DR,Pausing,,,,,
,,,,Pro PPC Pause Kws with more than 30 clicks and no sales - 3 Month DR,Pausing,,,,,
,,,,Pro PPC Pause Targets with more than 30 clicks and no sales - 3 Month DR,Pausing,,,,,
,,,,Pro PPC Pause Kws with more than 30 clicks and no sales - Lifetime Archive,Pausing,,,,,
,,,,Pro PPC Pause Targets with more than 30 clicks and no sales - Lifetime Archive,Pausing,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,DR one month,Good and low Acos lowered bid - raise above CPC,Big diff or small diff rule btw bid and cpc,add tag raised,Have rule on week dr,"big diff- 25 cents or more, go .15 above cpc/bid",,
,,Combine with rule above on week dr?,DR one month,(Good and) low Acos raised bid - raise above cpc,Big diff or small diff rule btw bid and cpc,,,,,
,,No such thing new tag with acos,DR one month,Good and low Acos new bid - raise above cpc,Big diff or small diff rule btw bid and cpc,add tag raised,,,,
,,,DR one month,High Acos lowered bid - (check if lowered enough on a week DR and then lower more on a week DR below whichever is lower,,,,,,
,,,DR one month,High Acos Raised bid - check if lowered enogh on a week DR and then lower more on a week DR below whichever is lower,,add tag lowered,,,,
,,,DR one month,High Acos new bid - lower on a week DR below the CPc/ whichever is lower,,add tag lowered,,,,
,,,DR one month,"if PL same rules, go according to bid instead  of CPC",,,,,,
,,Skip for now,DR one month,"Paused KWs. check if good Acos=5% above target,  on big DR with over 2 orders with 10% conversion",,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,Reusable,"when BE acos gets updated, follow big DR rules",,,,,,
,,,Reusable,"when comes back in stock and enabled, follow big DR rules",,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,Pro PPC Boost Kws Low Acos Big DR,DR- every 2 weeks on 30 day dr,Boost 5 cents above the bid,,,,
,,,,Pro PPC Cleaning Kws High Acos Big DR,DR- every 2 weeks on 30 day dr,Boost 5 cents above the bid,,,,
,,,,Pro PPC Boost Targets Low Acos Big DR,DR- every 2 weeks on 30 day dr,lower 5 cents above the bid,,,,
,,,,Pro PPC Cleaning Targets High Acos Big DR,DR- every 2 weeks on 30 day dr,Lower 5 cents above the bid,,,,
